OverallQual,LivArea,Fence,SalePrice
7,1710,0,208500
6,1262,0,181500
7,1786,0,223500
7,1717,0,140000
8,2198,0,250000
5,1362,1,143000
8,1694,0,307000
7,2090,0,200000
7,1774,0,129900
5,1077,0,118000
5,1040,0,129500
9,2324,0,345000
5,912,0,144000
7,1494,0,279500
6,1253,1,157000
7,854,1,132000
6,1004,0,149000
4,1296,0,90000
5,1114,0,159000
5,1339,1,139000
8,2376,0,325300
7,1108,1,139400
8,1795,0,230000
5,1060,0,129900
5,1060,1,154000
8,1600,0,256300
5,900,0,134800
8,1704,0,306000
5,1600,0,207500
4,520,0,68500
4,1317,1,40000
5,1228,1,149350
8,1234,0,179900
5,1700,0,165500
9,1561,0,277500
8,2452,0,309000
5,1097,0,145000
5,1297,0,153000
5,1057,0,109000
4,1152,0,82000
6,1324,1,160000
5,1328,0,170000
5,884,1,144000
5,938,1,130250
5,1150,0,141000
9,1752,0,319900
7,2149,0,239686
8,1656,0,249700
4,1452,0,113000
5,955,1,127000
6,1470,0,177000
6,1176,1,114500
5,816,0,110000
9,1842,0,385000
5,1360,1,130000
6,1425,0,180500
8,1739,0,172500
7,1720,0,196500
10,2945,0,438780
5,780,1,124900
6,1158,0,158000
5,1111,0,101000
8,1370,0,202500
7,1710,1,140000
7,2034,1,219500
8,2473,0,317000
7,2207,0,180000
7,1479,0,226000
4,747,0,80000
7,2287,0,225000
7,2223,0,244000
4,845,0,129500
7,1718,0,185000
5,1086,1,144900
3,1605,0,107400
4,988,1,91000
4,952,0,135750
5,1285,1,127000
4,1768,0,136500
5,1230,1,110000
6,2142,0,193500
6,1337,0,153500
8,1563,0,245000
5,1065,0,126500
7,1474,0,168500
8,2417,0,260000
6,1560,0,174000
6,1224,0,164500
3,1526,1,85000
4,990,0,123600
4,1040,0,109900
5,1235,1,98600
5,964,0,163500
6,2291,0,133900
6,1786,0,204750
6,1470,0,185000
7,1588,0,214000
4,960,0,94750
5,835,0,83000
4,1225,0,128950
6,1610,0,205000
6,1732,0,178000
5,1535,0,118964
7,1226,0,198900
7,1818,0,169500
8,1992,0,250000
4,1047,0,100000
5,789,0,115000
5,1517,0,115000
6,1844,1,190000
6,1855,0,136900
7,1430,0,180000
7,2696,0,383970
6,2259,1,217000
6,2320,1,259500
6,1458,0,176000
5,1092,0,139000
5,1125,0,155000
7,3222,0,320000
6,1456,0,163990
6,988,0,180000
4,1123,1,100000
6,1080,0,136000
6,1199,0,153900
6,1586,0,181000
6,754,0,84500
6,958,0,128000
5,840,0,87000
6,1348,0,155000
5,1053,1,150000
7,2157,1,226000
6,2054,0,244000
5,1327,0,150750
8,1296,0,220000
5,1721,1,180000
7,1682,1,174000
5,1214,0,143000
7,1959,0,171000
8,1852,1,230000
6,1764,1,231500
4,864,0,115000
7,1734,0,260000
5,1385,1,166000
7,1501,0,204000
5,1728,0,125000
6,1709,0,130000
5,875,0,105000
7,2035,0,222500
7,1080,0,141000
5,1344,0,115000
5,969,1,122000
8,1710,0,372402
6,1993,1,190000
6,1252,0,235000
6,1200,0,125000
6,1096,0,79000
5,1040,0,109500
8,1968,0,269500
7,1947,1,254900
7,2462,0,320000
6,1232,0,162500
9,2668,0,412500
7,1541,0,220000
4,882,1,103200
6,1616,0,152000
5,1355,0,127500
5,1867,1,190000
8,2161,0,325624
7,1720,0,183500
8,1707,0,228000
5,1382,0,128500
6,1656,0,215000
7,1767,0,239000
6,1362,0,163000
6,1651,0,184000
6,2158,1,243000
6,2060,0,211000
5,1920,0,172500
9,2234,0,501837
5,968,0,100000
6,1525,0,177000
7,1802,0,200100
5,1340,1,120000
7,2082,0,200000
5,1252,1,127000
10,3608,1,475000
7,1217,1,173000
5,1656,1,135000
5,1224,0,153337
8,1593,0,286000
8,2727,0,315000
7,1479,0,184000
7,1431,0,192000
7,1709,0,130000
5,864,0,127000
6,1456,0,148500
7,1726,0,311872
8,3112,1,235000
6,2229,1,104000
8,1713,0,274900
4,1121,0,140000
6,1279,1,171500
6,1310,0,112000
6,848,0,149000
5,1284,1,110000
7,1442,0,180500
5,1696,0,143900
4,1100,1,141000
7,2062,0,277000
6,1092,1,145000
5,864,0,98000
6,1212,0,186000
7,1852,0,252678
5,990,0,156000
6,1392,1,161750
5,1236,1,134450
7,1436,0,210000
4,1328,0,107000
7,1954,0,311500
7,1248,0,167240
7,1498,0,204900
6,2267,0,200000
6,1552,1,179900
4,864,0,97000
10,2392,0,386250
5,1302,0,112000
7,2520,0,290000
6,987,0,106000
5,912,1,125000
7,1555,0,192500
6,1194,0,148000
8,2794,0,403000
6,987,0,94500
5,894,1,128200
6,1960,0,216500
6,987,0,89500
7,1414,0,185500
7,1744,0,194500
8,1694,0,318000
6,1487,1,113000
8,1566,0,262500
5,866,0,110500
5,1440,0,79000
6,1217,0,120000
7,2110,0,205000
7,1872,0,241500
6,1928,0,137000
6,1375,0,140000
7,1668,0,180000
6,2144,0,277000
3,1306,1,76500
8,1625,0,235000
6,1640,0,173000
6,1302,1,158000
5,1314,0,145000
7,2291,0,230000
6,1728,0,207500
7,1604,0,220000
7,1792,0,231500
5,882,0,97000
6,1382,1,176000
8,2574,0,276000
6,1212,1,151000
5,1316,0,130000
5,764,0,73000
6,1422,1,175500
6,1511,0,185000
5,2192,0,179500
5,778,0,120500
6,1113,1,148000
8,1939,0,266000
7,1363,0,241500
8,2270,0,290000
6,1632,1,139000
5,816,0,124500
7,1548,0,205000
7,1560,0,201000
4,864,0,141000
9,2121,0,415298
7,2022,0,192000
7,1982,0,228500
6,1262,0,185000
7,1314,0,207500
8,1468,0,244600
6,1575,0,179200
7,1250,0,164700
6,1734,1,159000
4,858,0,88000
5,900,1,122000
6,1396,0,153575
8,1919,0,233230
5,1716,0,135900
5,1716,0,131000
7,2263,0,235000
6,1644,0,167000
6,1003,1,142500
5,1558,1,152000
7,1950,0,239000
6,1743,0,175000
